Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
21927,0,0,0,0,0,0,0,1,2,2,3,0,6,4,2,5,1,0,0,0,0,0,0,0
15368,0,0,0,0,0,0,0,0,5,5,4,2,7,8,0,0,0,0,0,0,0,0,0,0
18200,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18201,0,0,0,0,0,0,0,0,0,0,1,13,0,2,4,0,0,0,0,0,0,0,0,0
26220,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18203,0,0,0,0,0,5,0,3,0,1,6,11,0,0,2,4,0,0,0,0,0,0,0,0
26222,0,0,0,0,0,0,0,3,7,10,7,0,10,17,16,13,0,0,0,0,0,0,0,0
14640,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0
26223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15373,0,0,0,0,0,0,0,16,31,35,12,31,15,16,17,22,26,0,0,2,2,0,5,0
26227,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
14645,0,0,0,0,0,0,0,1,4,0,0,0,0,2,7,5,4,1,1,2,1,0,0,0
15375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21936,0,0,0,0,3,2,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
21937,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15379,0,0,0,0,0,0,0,6,11,2,4,2,1,0,5,3,3,0,0,0,0,0,0,0
18211,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,2,0,0,0,2,0,11,0,0
26230,0,0,0,0,0,0,0,2,1,4,0,10,1,18,3,9,0,1,1,1,0,0,0,0
18212,0,0,0,0,0,0,0,0,5,1,1,0,1,0,5,1,0,0,0,0,0,0,0,0
26231,0,0,0,0,0,0,0,0,1,2,3,1,2,1,1,0,0,0,1,0,0,0,0,0
25503,0,0,0,0,1,5,2,0,7,2,0,0,3,7,0,0,1,0,0,0,0,0,0,0
26232,0,0,0,0,0,0,2,1,0,11,7,20,2,17,30,25,5,0,0,0,0,0,3,0
21940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
26233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26234,0,0,0,0,0,0,0,0,4,11,2,19,1,0,1,1,4,3,0,0,0,0,0,0
21942,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,6,2,0,0
