11720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20475,0,0,0,0,0,3,9,19,138,119,167,61,67,117,56,80,25,18,1,3,103,4,0,0
20477,0,0,0,0,0,1,0,2,0,6,1,5,4,0,8,0,1,2,0,0,1,0,0,0
18990,0,0,0,0,0,0,0,2,13,35,19,13,11,15,35,33,37,14,1,0,0,1,3,0
18992,0,0,0,0,0,0,1,1,6,9,6,7,2,1,4,14,12,0,1,0,0,0,0,0
18995,0,0,0,0,0,0,0,5,7,2,14,6,4,6,7,2,0,1,0,0,1,0,0,0
18996,0,0,0,0,0,3,2,16,39,50,57,8,52,37,61,46,28,4,0,0,0,0,0,0
18997,0,0,0,0,0,0,0,5,11,18,12,9,10,11,6,7,2,2,0,0,3,6,5,0
18999,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20480,0,0,0,0,0,0,0,7,8,16,1,11,3,0,34,9,7,0,0,0,2,0,0,2
20481,0,0,0,0,0,0,46,109,108,91,61,48,131,119,115,126,8,7,15,15,0,0,0,0
16028,0,0,0,0,0,0,2,3,0,5,11,2,5,1,19,10,0,3,0,0,0,0,0,0
13194,0,0,0,0,0,0,27,110,131,128,110,69,48,62,110,145,15,0,0,0,0,0,0,0
16029,0,0,0,0,0,0,0,0,6,49,93,2,41,95,55,32,15,9,0,1,0,0,0,0
20485,0,0,0,0,0,1,0,0,3,11,4,13,46,24,4,4,7,4,10,7,35,4,0,0
13197,0,0,0,0,0,0,0,0,0,12,12,7,5,10,4,9,9,6,20,0,1,0,0,0
16030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,3
16035,0,0,0,0,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20495,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,1,1,1,2,0,0,0,0
20499,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
15316,0,0,0,0,0,0,1,6,14,7,14,4,11,9,3,0,10,1,0,1,0,0,0,0
15318,0,0,0,0,0,0,160,97,110,98,55,14,114,108,63,0,0,0,0,0,0,0,0,0
15327,0,0,0,0,0,4,14,15,20,38,9,12,12,24,15,9,2,0,2,0,0,0,0,0
16057,0,0,0,0,0,0,18,5,0,1,1,0,8,10,10,1,0,0,0,0,0,1,0,0
14602,0,0,0,0,0,0,2,58,58,49,63,59,52,82,104,91,34,2,0,0,0,0,1,0
15333,0,0,0,0,0,9,10,20,21,11,8,31,23,10,9,3,0,1,0,0,0,0,0,0
15334,0,0,0,0,0,0,2,23,19,38,19,21,12,34,13,10,4,2,0,0,0,0,0,0
16064,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
14608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16069,5,0,0,0,0,2,4,20,17,29,28,21,19,26,103,74,23,30,23,15,12,46,27,7
21900,0,0,0,0,0,0,3,54,12,7,36,16,10,1,9,30,0,0,1,1,0,0,0,0
15340,0,0,0,0,0,0,1,12,11,14,5,15,11,5,12,13,6,0,1,0,0,0,0,0
14611,0,0,0,0,1,8,14,19,18,23,20,33,21,13,4,3,0,1,0,1,0,0,0,0
21901,0,4,1,0,9,5,7,20,5,17,10,13,10,0,1,0,0,0,0,0,0,1,0,0
21905,0,0,0,0,0,1,6,7,5,8,9,7,5,7,12,6,0,0,0,0,0,0,0,0
16074,0,0,0,0,0,0,0,3,19,38,27,19,17,42,34,62,35,44,2,2,3,4,0,0
21906,0,0,0,0,0,0,1,11,13,6,4,13,5,4,4,0,0,0,0,0,0,0,0,0
21909,0,0,0,0,0,1,0,2,3,2,6,3,8,1,0,1,1,0,0,0,0,1,0,0
26200,0,0,0,1,21,13,20,6,13,9,11,8,5,0,6,0,1,0,5,0,0,0,0,0
26201,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
14620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26204,0,0,0,0,0,0,2,4,0,0,0,0,10,2,0,0,0,0,1,0,2,0,0,0
15351,0,0,0,0,0,0,1,102,160,124,209,92,50,148,547,290,119,28,0,9,5,0,0,0
16080,0,0,0,0,0,0,1,1,0,1,19,9,19,7,38,5,1,3,3,3,2,1,0,0
15352,2,0,0,0,0,0,1,2,35,39,49,35,66,57,22,77,42,36,2,0,1,4,18,6
21913,0,0,0,0,0,0,0,8,12,32,32,16,29,14,36,43,11,22,4,0,0,0,0,0
26206,0,0,0,0,0,0,133,49,26,39,33,6,18,40,75,28,0,0,0,0,0,0,0,0
21914,9,6,5,7,23,31,16,5,18,8,22,7,9,3,0,0,0,7,7,11,16,1,0,0
21916,0,0,0,0,0,0,0,1,3,3,0,0,1,2,3,0,1,0,0,0,0,2,0,0
