Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
26127,1,0,2,1,0,0,6,36,41,48,32,28,54,29,24,40,47,32,4,1,2,3,2,5
15274,0,0,0,0,0,0,0,66,177,277,258,120,101,238,332,260,165,0,0,0,0,0,0,0
26128,0,0,0,0,0,0,0,2,1,2,8,9,8,1,3,31,0,0,0,0,0,0,0,0
14546,0,0,0,0,0,0,11,127,94,110,177,84,136,245,215,213,47,0,0,2,11,0,0,0
15276,0,0,0,0,0,2,8,13,6,13,7,1,27,3,17,2,0,0,0,0,0,0,0,0
15277,0,0,0,0,0,0,2,126,299,215,320,124,115,166,190,243,103,8,5,2,0,0,0,0
14548,7,7,4,88,52,99,126,210,324,316,379,223,220,520,266,299,353,80,64,108,52,73,54,22
21838,0,0,0,0,0,0,0,2,25,3,4,9,5,19,6,4,8,0,14,0,0,0,0,0
25400,0,0,0,3,3,1,6,34,142,14,16,3,107,52,7,62,212,30,0,1,2,0,1,0
25401,0,0,0,0,0,0,0,0,1,18,30,99,35,31,85,32,18,3,0,0,6,5,0,0
26130,0,0,0,0,5,1,5,6,5,3,8,1,9,4,4,1,0,0,2,0,0,0,0,0
26131,0,0,0,0,0,0,0,7,25,36,107,40,29,76,40,13,10,3,4,5,1,4,3,1
21840,1,0,0,0,1,12,10,50,264,419,681,374,371,614,566,1068,275,72,32,25,46,95,96,24
25404,0,0,0,0,22,35,43,16,14,28,21,6,22,2,2,0,0,1,2,15,21,110,1,0
26133,0,0,0,0,0,0,4,3,15,36,51,29,26,30,17,44,11,2,5,3,2,0,0,0
25405,0,0,0,0,0,0,0,2,41,53,42,7,29,61,52,20,36,4,1,0,1,0,0,0
25406,19,6,0,2,14,45,31,91,119,175,165,154,87,157,112,274,104,72,79,59,79,150,52,47
25407,0,0,0,0,30,29,26,35,31,20,31,8,14,40,2,0,5,22,0,0,0,0,0,0
21844,0,0,0,0,0,13,55,82,27,29,65,35,53,65,36,5,1,0,0,0,0,0,0,0
25408,0,0,1,0,3,10,24,30,62,11,119,236,48,27,56,71,8,9,0,0,1,0,0,1
13827,0,0,0,0,0,0,0,0,0,7,9,17,4,10,19,10,1,1,0,0,0,0,0,0
21846,0,0,0,0,0,0,2,3,24,42,47,34,45,79,66,44,27,12,0,0,0,0,0,1
14557,0,0,0,0,0,0,0,274,226,152,216,128,170,151,134,309,281,180,26,16,16,4,0,0
21848,0,0,0,0,0,20,12,12,19,9,7,35,10,6,4,0,3,0,0,0,0,0,0,0
25410,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,8,20,7,2,13,0,0,0
25411,0,0,0,0,0,0,0,5,20,23,30,27,37,15,30,20,16,14,1,0,0,0,0,0
18123,0,0,0,0,0,3,49,1323,2719,2580,2846,1750,1941,2955,3008,2614,595,3,0,0,0,1,0,0
26142,0,0,0,1,0,13,39,151,315,399,320,274,128,284,268,178,42,2,0,0,0,0,0,0
25414,0,0,0,0,0,23,65,72,91,76,74,30,36,21,0,0,0,0,0,0,0,0,0,0
13832,0,0,0,2,1,32,63,47,27,29,72,55,25,19,7,0,0,0,0,0,0,0,0,0
25415,0,0,0,0,0,0,2,23,15,30,20,7,34,9,14,14,10,1,0,0,0,0,0,0
26144,0,0,0,0,0,0,0,26,32,25,33,14,17,43,31,28,4,2,0,0,0,0,0,0
13834,0,0,0,0,0,0,53,216,194,226,159,12,55,240,176,130,0,1,0,0,0,0,0,0
25417,0,0,0,0,0,8,34,12,45,13,31,28,62,43,10,12,0,4,0,2,0,0,0,0
18128,0,0,0,0,0,0,3,1,2,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0
15294,0,0,0,0,0,4,6,1,2,9,1,6,4,0,0,0,0,0,0,0,0,0,0,0
18129,2,0,0,0,0,3,4,22,381,36,12,26,30,45,26,4,0,0,0,0,0,0,4,0
21855,0,0,0,0,0,1,0,8,101,136,199,159,108,194,247,235,162,94,78,54,22,4,2,0
26148,0,0,0,0,0,27,58,35,52,99,128,59,78,57,26,29,47,6,7,6,17,0,0,0
21856,0,0,0,0,0,11,13,6,19,12,9,12,18,27,21,25,23,10,0,0,2,0,0,1
26149,0,0,0,0,0,0,0,0,2,15,7,17,6,3,1,12,2,0,0,0,0,0,0,0
15299,0,0,2,3,1,2,4,94,91,239,177,115,139,232,220,176,118,28,6,1,0,0,0,0
17400,0,0,1,43,93,188,294,290,272,148,198,283,227,159,56,17,8,47,13,7,3,0,0,0
18130,0,0,0,0,0,0,0,34,117,81,61,29,21,100,117,87,44,1,0,0,0,0,0,0
25421,0,0,0,0,0,0,2,191,263,202,245,128,141,271,200,192,67,1,0,1,0,0,0,0
25422,0,0,0,0,0,0,28,68,72,33,100,35,87,99,225,46,0,2,1,0,0,0,0,0
18133,0,0,0,0,0,0,0,4,5,9,6,0,5,7,50,9,0,4,0,0,0,0,0,0
18135,0,0,0,1,0,0,0,0,10,30,19,6,5,10,9,25,6,0,0,0,0,2,0,0
21861,0,0,0,1,2,15,15,13,17,15,31,2,9,4,7,0,3,0,23,8,2,0,0,0
26154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26155,1,0,0,0,0,0,0,0,0,4,25,7,4,8,7,26,2,7,9,0,5,0,67,0
21863,0,0,0,0,0,0,0,5,51,65,99,20,101,90,113,129,97,38,13,9,11,0,0,0
25427,0,0,0,0,0,2,2,29,13,5,9,10,5,13,22,2,1,0,0,0,0,0,0,0
25428,7721,2163,2464,1812,0,0,2,35,262,467,723,564,227,186,810,2302,1939,2150,2683,2625,265,114,115,4483
26158,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
